cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,5,3,2,6,3,3,4,0,2,6,2,5,4,5,7,11,7,12,7,15,13,10,11,5,11,11,8,20,12,16,11,12,16,15,16,11,18,12,22,15,14,23,15,21,24,17,23,28,23,16,21,29,14,18,15,13,12,24,17,19,26,25,13,35,21,17,23,15,18,30,19,21,17,12,18,23,15,8,4,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,22,24,17,21,16,23,20,28,17,17,22,19,23,22,19,22,18,18,27,22,15,19,23,20,29,14,16,29,15,15,16,21,24,20,19,19,10,11,13,20,12,12,22,9,12,15,13,7,13,23,12,9,11,13,11,14,13,11,13,10,14,14,8,5,5,8,7,7,7,7,8,4,3,4,0,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,16,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,6,18,6,12,11,6,17,13,10,5,9,6,10,10,8,14,11,17,13,14,14,15,14,13,7,14,13,12,9,14,19,12,16,16,16,16,17,9,13,17,23,14,14,5,3,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,23,17,16,21,13,22,13,22,26,14,27,17,24,27,16,24,26,26,21,26,26,27,19,23,26,33,20,31,21,32,36,28,26,24,25,26,20,33,29,29,23,35,28,17,21,27,29,32,18,30,19,26,19,15,28,15,32,17,28,18,20,26,28,27,12,0,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,22,28,27,34,35,38,35,47,44,67,50,56,66,62,74,63,62,91,63,55,66,60,61,64,68,57,83,75,90,87,101,91,99,82,99,96,83,106,96,108,92,91,97,103,108,104,98,120,106,101,104,111,109,126,110,120,108,102,104,117,120,107,94,106,76,81,93,86,81,67,78,88,87,119,81,81,94,60,69,81,104,78,85,77,71,84,66,65,68,72,85,68,72,81,62,65,54,61,61,55,62,52,42,51,50,47,60,43,51,43,34,32,4,1,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,3,4,7,8,6,7,14,7,9,7,12,7,11,11,9,13,18,19,15,23,12,13,13,10,8,10,10,6,8,16,11,6,7,12,9,5,8,9,10,7,8,5,8,14,9,12,8,14,6,12,3,4,5,3,5,8,9,11,15,10,9,12,7,6,10,6,15,4,8,7,6,5,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,14,16,16,12,22,10,10,9,10,15,18,22,15,9,15,7,9,10,6,7,5,7,12,13,13,6,7,7,11,8,8,9,12,8,8,9,8,7,11,7,5,9,3,9,7,9,4,1,7,3,4,9,6,8,4,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,3,3,2,2,2,1,2,3,1,6,2,5,3,3,0,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,7,7,3,1,1,4,3,6,7,5,5,8,4,5,6,8,6,4,5,6,3,13,5,9,7,10,1,9,8,6,8,7,6,3,7,11,6,5,7,7,1,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,10,11,10,7,12,10,10,11,10,20,12,14,15,22,20,28,19,16,26,24,18,23,25,13,21,26,29,29,35,30,29,37,33,28,34,39,28,30,17,24,29,40,27,27,27,27,34,28,32,26,29,11,1,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,7,9,14,11,8,11,8,13,16,16,14,11,6,14,5,14,17,17,23,22,11,17,26,12,17,22,19,11,10,6,15,19,21,14,12,15,12,9,5,9,17,6,11,17,15,14,16,9,12,14,9,13,17,15,15,9,13,6,12,8,7,17,12,10,5,3,9,14,5,8,8,7,11,10,7,8,9,3,1,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,6,8,3,7,5,6,6,9,5,13,9,8,11,5,13,13,13,8,11,8,8,5,14,16,14,14,16,13,9,10,20,24,18,27,23,17,28,21,19,23,19,23,24,34,32,24,33,20,34,26,24,31,29,17,35,35,33,36,39,36,39,24,32,44,44,28,20,22,27,22,25,32,36,32,27,45,33,40,38,34,33,31,28,27,35,50,23,28,41,36,32,29,35,43,33,34,35,41,39,33,26,40,39,28,24,28,28,23,21,17,6,0,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,5,3,5,5,3,3,5,9,5,6,5,6,10,4,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,6,8,3,8,6,3,6,7,0,5,5,6,9,7,11,3,3,9,7,3,0,1
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,7,8,8,6,12,7,4,5,8,9,12,5,7,8,4,6,7,6,4,4,6,6,5,5,8,8,5,7,10,10,6,10,13,9,10,7,9,6,16,10,13,10,22,16,14,11,12,17,11,9,19,12,15,25,22,13,16,15,14,12,9,11,9,16,16,6,16,19,17,9,7,8,1,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,5,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,5,7,7,6,12,11,7,4,8,4,10,8,2,6,3,7,12,9,7,9,12,6,12,13,15,12,21,14,7,18,18,22,22,27,14,10,12,13,25,12,15,16,6,15,12,7,12,5,3,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,4,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,18,18,15,15,24,16,19,15,18,17,28,23,21,23,28,30,26,40,27,34,25,31,31,19,22,21,48,26,26,29,30,31,27,22,23,33,30,29,27,27,26,34,28,29,21,19,24,35,26,37,27,26,28,32,14,22,28,35,29,33,23,33,20,36,29,15,21,19,20,22,22,13,14,19,14,22,19,8,16,26,12,12,9,1,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,2,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,5,6,5,7,8,7,9,10,4,9,14,11,14,16,12,14,23,18,13,18,13,15,25,33,25,22,27,24,33,34,34,25,29,35,37,33,36,29,30,24,36,51,45,45,36,32,41,41,35,42,37,35,40,35,39,36,35,48,44,42,35,35,40,35,40,27,32,28,25,41,21,35,19,15,28,29,19,15,23,13,13,9,12,14,7,7,8,2,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,11,7,10,10,6,9,9,10,17,13,13,14,6,15,11,23,13,13,15,11,13,15,24,17,15,14,16,21,19,22,21,17,12,22,17,19,18,27,11,23,19,16,17,17,10,17,15,16,17,12,18,15,17,21,22,14,22,18,8,23,16,14,14,21,22,25,25,25,28,16,26,24,17,30,38,34,23,31,33,34,30,38,27,27,33,39,22,26,32,36,30,29,19,28,23,24,24,17,25,19,19,14,19,10,11,12,7,9,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,11,6,19,15,12,19,22,19,9,16,26,18,10,22,21,28,23,24,27,15,23,15,34,32,35,29,23,17,14,11,10,34,14,19,26,20,24,25,22,25,20,27,18,12,21,18,17,19,16,15,16,20,9,17,11,11,4,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,7,3,6,5,5,2,5,13,3,6,4,9,4,0,10,9,9,6,14,4,7,7,13,10,16,11,7,7,5,6,9,5,9,7,12,11,4,5,8,5,13,10,5,8,9,10,10,6,7,7,9,14,11,8,8,12,10,5,18,18,8,12,14,10,11,11,15,6,10,3,13,10,7,6,6,8,10,6,4,6,3,3,0,3,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,14,17,13,19,28,22,25,24,20,36,25,19,22,32,36,37,27,33,28,30,30,34,24,31,25,38,27,35,33,35,24,40,29,32,42,38,40,32,32,29,34,39,41,31,27,32,41,40,26,29,34,44,36,41,37,42,30,24,28,32,36,38,44,34,46,43,40,24,25,39,34,32,44,40,39,44,38,33,27,27,26,34,41,32,32,37,25,26,19,33,26,22,9,9,5,1,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,8,19,16,8,6,6,15,23,15,10,14,16,8,19,19,9,13,20,10,9,16,13,23,13,7,15,9,14,20,21,22,14,11,11,16,13,14,8,16,17,13,17,16,15,15,9,9,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,5,6,1,2,2,1,2,1,2,3,0,4,3,4,3,6,3,2,1,3,7,5,3,6,4,4,1,6,8,4,3,6,5,5,6,2,6,9,7,12,2,6,7,3,7,12,5,10,7,10,9,7,4,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,65,69,72,80,92,95,79,109,110,134,164,156,165,163,195,220,235,211,208,266,260,292,261,261,332,310,298,296,321,307,318,341,341,375,414,423,395,442,450,455,460,448,436,432,468,481,481,448,481,435,477,505,547,499,532,530,505,540,558,592,560,584,541,604,558,583,574,638,614,562,539,471,549,546,543,527,513,557,565,547,614,574,556,546,547,574,608,659,624,565,587,540,567,562,610,589,590,602,570,541,577,581,598,523,548,495,491,516,454,471,453,501,452,456,434,464,459,390,321,179,73,2
