"cve_ent","poblacion","nombre","31-12-2019","01-01-2020","02-01-2020","03-01-2020","04-01-2020","05-01-2020","06-01-2020","07-01-2020","08-01-2020","09-01-2020","10-01-2020","11-01-2020","12-01-2020","13-01-2020","14-01-2020","15-01-2020","16-01-2020","17-01-2020","18-01-2020","19-01-2020","20-01-2020","21-01-2020","22-01-2020","23-01-2020","24-01-2020","25-01-2020","26-01-2020","27-01-2020","28-01-2020","29-01-2020","30-01-2020","31-01-2020","01-02-2020","02-02-2020","03-02-2020","04-02-2020","05-02-2020","06-02-2020","07-02-2020","08-02-2020","09-02-2020","10-02-2020","11-02-2020","12-02-2020","13-02-2020","14-02-2020","15-02-2020","16-02-2020","17-02-2020","18-02-2020","19-02-2020","20-02-2020","21-02-2020","22-02-2020","23-02-2020","24-02-2020","25-02-2020","26-02-2020","27-02-2020","28-02-2020","29-02-2020","01-03-2020","02-03-2020","03-03-2020","04-03-2020","05-03-2020","06-03-2020","07-03-2020","08-03-2020","09-03-2020","10-03-2020","11-03-2020","12-03-2020","13-03-2020","14-03-2020","15-03-2020","16-03-2020","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020"
"10","1868996","DURANGO","0","0","0","0","2","1","1","1","2","1","1","0","3","0","1","2","0","0","0","4","1","1","1","0","0","1","1","2","3","0","1","0","0","1","2","0","1","0","1","3","0","4","0","1","0","0","0","2","1","1","0","1","0","0","0","1","1","0","1","0","1","0","2","2","1","2","1","0","1","6","0","1","3","1","1","1","0","4","2","6","0","1","0","7","13","9","17","19","3","3","6","11","15","25","10","27","11","22","21","15","5","7","2","3","13","17","18","18","15","4","6","17","34","10","43","25","8","7","13","12","22","2"
"11","6228175","GUANAJUATO","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","1","1","1","1","2","0","0","1","1","0","2","0","0","2","1","0","1","3","1","2","2","0","2","5","2","2","1","0","0","3","1","2","1","0","0","1","0","2","1","1","1","4","3","5","3","1","2","3","0","1","0","3","3","1","8","9","2","3","8","10","13","27","25","40","14","47","55","84","88","71","64","19","85","91","78","98","84","31","17","70","72","83","61","56","54","15","60","76","117","102","156","61","34","171","200","218","226","193","103","37","172","249","65","1"
"12","3657048","GUERRERO","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","0","0","0","5","0","1","2","3","2","2","2","0","1","12","6","12","14","17","10","12","28","19","18","19","10","7","4","12","14","14","12","14","7","10","22","14","23","22","20","9","15","29","32","16","15","14","5","10","18","24","5","0"
"13","3086414","HIDALGO","0","0","0","1","0","0","0","1","0","2","0","0","0","0","0","1","0","1","0","1","0","0","1","1","0","1","0","0","2","0","2","0","0","0","0","1","1","0","1","0","0","0","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","1","1","2","0","2","0","2","1","1","2","0","2","3","3","4","0","0","0","1","11","2","4","23","1","0","11","16","16","37","34","15","12","22","16","20","16","23","9","6","16","18","16","11","4","2","3","10","15","9","4","16","20","8","14","16","15","27","13","6","4","14","15","8","5"
"14","8409693","JALISCO","0","1","0","3","0","2","3","4","3","14","9","3","7","11","10","17","12","15","7","2","12","18","18","8","7","4","4","11","10","9","10","11","3","6","4","7","8","6","3","2","3","9","6","13","10","8","0","6","7","4","7","6","6","2","2","5","2","10","4","5","3","3","12","8","10","3","8","2","2","3","11","9","14","18","5","14","13","37","46","53","40","31","33","93","99","117","77","124","55","67","109","102","90","92","120","113","82","145","118","103","79","76","78","51","112","91","106","105","135","61","35","184","147","201","277","288","119","72","127","32","12","1"
"15","17427790","MEXICO","0","0","1","1","1","3","1","5","1","6","7","0","1","2","5","2","5","1","1","1","7","4","8","1","3","0","3","2","2","3","1","0","0","1","0","5","2","5","2","0","0","2","4","3","3","1","0","0","2","0","0","1","3","0","1","2","6","4","2","4","2","2","9","12","9","4","7","1","5","7","9","13","11","24","15","9","18","42","22","42","30","24","14","64","74","77","78","141","63","64","176","122","128","127","147","103","48","129","160","165","87","123","64","58","226","206","170","159","166","78","82","201","172","171","155","183","31","41","61","51","13","6"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","8","1","0","3","4","8","8","7","8","6","11","14","33","19","22","15","10","34","20","30","25","36","22","13","30","24","34","32","24","11","17","45","37","47","82","108","28","21","64","54","43","62","56","48","16","48","59","25","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","1","2","0","1","2","6","8","1","2","11","11","13","11","8","7","14","12","14","18","17","13","13","5","21","15","21","12","9","12","8","21","19","22","15","14","4","9","23","22","10","12","15","6","7","15","3","7","1"
"18","1288571","NAYARIT","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","1","3","1","2","0","1","2","1","5","3","5","10","9","11","8","14","8","13","9","6","9","3","14","9","10","9","4","2","4","12","11","12","8","6","10","3","17","12","14","8","16","17","22","28","14","8","2"
"19","5610153","NUEVO LEON","0","0","0","1","0","0","0","0","0","0","0","0","0","3","1","3","4","0","2","2","10","6","3","6","3","2","3","3","3","2","2","0","0","0","1","1","1","4","3","0","2","6","3","3","5","1","2","1","3","1","1","0","2","3","0","2","4","0","3","8","3","2","9","12","6","7","4","3","3","9","7","9","25","40","14","6","26","43","35","47","42","30","33","62","96","99","54","72","41","38","74","71","93","76","86","47","30","97","110","98","235","343","276","220","187","298","269","222","156","58","59","123","66","49","64","72","102","78","159","92","22","12"
"20","4143593","OAXACA","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","1","0","1","0","0","1","0","0","0","0","2","2","0","3","1","3","5","5","7","1","2","4","8","11","23","14","35","6","14","9","20","24","45","25","12","7","15","12","17","7","8","15","6","19","11","11","7","15","6","8","14","7","9","12","21","17","2","11","13","8","0"
"21","6604451","PUEBLA","0","0","1","0","0","0","0","3","0","0","0","0","0","2","0","0","1","1","0","0","0","1","0","0","2","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","1","1","4","0","2","1","0","1","0","0","1","0","0","2","12","5","10","5","4","4","17","25","26","34","16","8","26","35","40","39","25","10","21","62","32","28","33","41","18","25","51","47","57","29","17","10","24","74","53","41","34","42","18","18","54","27","28","39","39","26","14","30","14","13","6"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","1","0","0","0","0","0","0","2","1","7","4","3","4","2","9","14","6","16","4","17","20","16","29","21","15","9","22","35","25","20","20","3","4","22","20","11","5","20","12","12","25","18","16","11","10","8","11","18","17","9","10","15","8","7","22","14","11","5"
"23","1723259","QUINTANA ROO","0","0","0","1","0","1","0","2","1","0","1","0","0","0","1","1","1","1","0","0","1","0","1","2","0","0","2","0","2","2","2","0","0","0","0","2","4","3","2","0","1","3","0","2","0","0","0","0","0","1","1","4","0","0","0","0","1","0","1","3","0","0","6","1","0","2","3","0","1","2","1","2","3","4","3","6","11","11","12","13","7","6","6","13","20","24","27","22","7","6","36","28","17","21","17","8","14","16","23","16","15","13","11","7","23","13","15","16","9","16","9","15","16","10","7","16","15","5","12","3","11","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","0","0","0","0","0","2","2","0","2","0","2","1","1","2","0","0","1","4","0","0","0","0","1","0","1","0","1","0","0","0","0","1","1","0","1","0","0","0","0","5","1","0","0","0","0","2","1","4","3","2","13","5","9","2","8","11","14","13","25","39","39","39","53","28","28","39","45","58","48","32","25","18","31","41","51","32","25","22","23","51","51","28","28","31","26","25","33","35","26","52","59","21","26","43","43","36","0"
"25","3156674","SINALOA","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","1","0","0","0","7","4","4","0","0","0","2","3","4","3","4","0","0","2","2","4","1","1","0","1","0","2","1","0","2","1","0","2","0","1","2","1","0","1","2","3","0","3","2","3","4","3","6","13","10","12","5","5","24","38","34","30","38","12","18","41","25","45","36","39","51","17","41","27","43","20","31","24","8","61","39","42","31","35","14","22","28","20","21","24","43","17","16","28","21","0","0"
"26","3074745","SONORA","0","0","0","1","0","1","2","0","1","0","0","1","0","0","4","3","0","1","0","0","0","1","0","3","0","0","0","1","2","3","4","0","1","0","0","2","1","2","1","0","0","0","3","0","1","0","1","0","1","1","1","1","0","1","1","1","0","1","1","0","0","0","2","1","1","1","1","0","1","2","1","0","2","2","0","1","2","9","13","8","7","6","3","10","23","28","22","24","17","13","40","32","34","28","22","16","13","28","28","36","16","25","11","7","39","30","34","33","32","23","24","35","34","36","25","34","12","18","23","12","3","0"
"27","2572287","TABASCO","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","2","2","1","1","0","1","0","0","1","2","0","2","0","1","2","1","1","9","6","7","11","18","6","17","35","27","21","8","46","46","36","25","36","19","20","30","30","26","9","8","7","8","17","32","21","30","47","23","53","35","46","67","73","79","39","23","60","23","24","4"
"28","3650602","TAMAULIPAS","0","0","1","0","0","0","0","1","0","1","0","0","0","0","2","2","1","0","1","1","1","1","1","1","4","2","0","1","2","0","0","1","0","0","0","0","0","2","0","0","0","3","1","2","0","1","0","0","1","0","1","0","0","0","0","0","0","1","2","1","0","0","0","2","0","1","2","0","2","0","3","0","2","2","0","2","0","5","3","6","3","5","10","11","13","12","21","14","6","11","19","24","32","23","27","10","16","23","34","46","15","41","11","23","67","65","76","71","77","73","38","108","51","92","90","103","48","45","134","116","96","48"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","1","1","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","2","0","2","1","1","0","1","0","3","8","6","3","4","8","5","5","14","19","7","7","19","13","21","15","13","4","7","17","17","16","27","19","8","6","50","47","17","10","30","14","2","21","22","17","21","24","23","9","40","39","9","0"
"30","8539862","VERACRUZ","0","0","0","0","0","1","2","2","1","1","2","0","1","2","1","1","3","3","0","0","3","1","1","3","6","2","5","3","3","2","5","0","0","0","0","1","1","4","3","1","1","6","3","1","3","4","2","2","0","3","4","3","2","1","0","4","3","1","2","7","3","4","1","6","2","4","5","0","2","3","2","2","3","9","5","2","6","28","18","14","19","6","2","18","40","47","62","40","19","15","56","62","49","59","43","15","9","51","49","52","23","23","25","13","58","60","51","36","51","23","26","74","70","58","65","51","27","15","25","11","11","0"
"31","2259098","YUCATAN","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1","0","2","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","1","3","4","2","6","0","1","0","1","1","0","5","2","0","6","5","5","8","13","22","9","11","16","26","14","11","15","18","14","27","22","29","35","32","14","15","23","28","30","16","14","18","17","44","35","24","22","35","23","41","42","37","34","48","40","20","9","78","50","57","0"
"32","1666426","ZACATECAS","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","2","0","0","0","0","0","2","2","3","2","0","1","1","3","7","3","7","7","6","10","25","17","12","9","1","5","10","11","7","29","12","14","6","10","12","22","5","7","5","3","13","13","13","10","7","24","10","22","22","29","23","22","12","38","40","24","13","0"
