cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020
"11",6228175,"GUANAJUATO",0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,1,1,2,0,0,1,1,0,2,0,0,2,1,0,1,3,1,2,2,0,2,5,2,2,1,0,0,3,1,2,1,0,0,1,0,2,1,1,1,4,3,5,3,1,2,3,0,1,0,3,3,1,8,9,2,3,8,10,13,27,25,40,14,47,55,84,88,72,64,19,85,90,79,98,84,30,17,71,72,83,63,56,54,16,60,76,117,103,156,62,35,172,201,223,230,201,104,38,194,312,332,361,155,74,53,238,228,267,284,281,91,49,318,273,267,318,318,112,50,352,277,253,252,258,101,70,356,293,207,228,220,86,72,238,223,221,340,318,158,89,307,288,258,258,263,96,74,294,280,293,296,285,115,53,286,335,252,280,466,206,117,548,491,491,429,424,167,100,584,576,486,372,319,50,1,0
"12",3657048,"GUERRERO",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,5,0,1,2,3,2,2,2,0,1,12,6,12,13,18,10,11,27,20,17,17,9,8,4,12,13,14,13,14,9,10,22,17,23,22,20,11,14,29,31,18,17,15,9,17,25,37,27,34,23,42,32,44,44,53,46,52,31,22,64,57,69,42,56,41,35,66,30,32,39,25,22,16,36,28,58,59,62,56,37,65,75,63,64,52,49,25,75,47,55,57,63,46,40,45,63,62,55,88,21,31,85,57,56,50,56,98,121,109,60,142,124,145,98,102,74,61,69,42,20,1,2,0
"13",3086414,"HIDALGO",0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,2,0,2,1,1,2,0,2,3,2,4,0,0,0,1,11,2,4,23,1,0,11,16,16,37,34,15,12,22,16,20,15,23,9,6,15,19,16,11,4,1,3,12,19,9,5,15,19,8,17,18,16,31,13,12,5,17,22,12,24,17,10,14,28,38,30,40,41,14,6,37,22,33,56,35,36,14,52,49,40,35,60,13,14,38,41,33,49,50,24,17,43,90,54,56,67,32,19,64,71,73,73,68,22,23,76,63,67,65,66,39,13,48,70,42,50,73,20,25,55,48,63,37,57,32,17,58,74,59,66,55,14,7,0
"14",8409693,"JALISCO",0,1,0,3,0,2,3,4,3,13,9,3,7,11,10,17,12,15,7,2,12,18,18,8,7,4,5,11,10,9,10,11,3,6,5,7,8,7,3,2,3,9,6,13,11,8,0,6,7,4,7,6,6,2,2,5,2,10,4,5,3,3,12,8,10,3,8,2,2,3,11,8,14,18,5,14,13,37,45,51,39,31,33,89,97,112,76,120,55,66,107,100,88,92,120,113,82,145,118,103,79,76,78,52,111,91,108,105,133,64,33,181,142,199,278,293,125,92,174,127,185,154,96,64,43,177,95,121,159,179,222,85,206,187,192,334,259,145,72,205,167,200,219,217,112,65,241,284,243,263,236,168,89,304,329,260,285,281,132,96,308,295,306,266,234,107,54,233,197,269,241,163,178,55,210,222,208,224,249,129,68,244,232,269,255,236,130,42,266,249,347,302,124,23,0,0
"15",17427790,"MEXICO",0,0,1,1,1,3,1,5,1,6,7,0,1,2,5,2,5,1,1,1,7,4,8,1,3,0,3,2,2,3,1,1,0,1,0,6,3,5,2,0,0,2,4,3,3,2,0,0,2,0,0,1,3,0,1,2,6,4,2,4,2,2,9,12,9,4,7,1,5,7,9,13,11,24,15,9,18,43,21,44,30,25,14,65,73,80,80,145,65,64,178,124,130,129,155,105,50,130,167,167,90,121,68,63,233,215,191,165,181,83,92,227,186,195,182,262,126,95,229,265,335,447,294,292,272,621,512,699,614,732,282,233,743,756,583,541,518,223,159,540,447,651,509,630,194,180,637,518,655,589,608,277,186,614,544,705,591,644,163,152,641,677,706,746,774,277,239,860,755,838,786,890,289,180,721,649,733,723,757,264,181,846,679,781,617,704,247,153,762,590,521,344,193,51,5,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,1,0,3,4,7,8,7,7,6,12,14,33,19,21,15,10,34,20,29,26,36,22,13,29,25,34,33,25,11,17,45,38,46,82,108,26,21,63,56,43,61,57,51,18,57,70,79,90,38,33,33,78,71,84,70,90,40,32,153,118,120,137,206,72,31,117,154,138,126,149,43,30,170,133,168,208,208,54,27,221,154,168,168,193,91,41,235,228,203,238,342,61,42,360,294,239,282,305,106,39,282,336,339,321,342,126,94,263,264,226,201,199,88,45,232,218,147,69,7,0,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,2,6,8,1,2,11,11,13,10,8,7,13,11,15,18,17,13,13,5,21,16,21,12,9,13,8,22,27,22,17,15,5,11,24,23,12,15,12,8,8,13,13,22,23,7,2,12,25,15,44,28,30,12,9,38,35,33,35,56,12,14,51,35,36,39,38,7,15,51,62,40,34,44,6,15,38,26,34,35,37,23,13,50,54,53,73,63,15,18,64,49,58,52,55,12,13,66,53,58,50,65,17,12,63,55,52,47,37,15,18,42,56,44,28,20,0,0,0
"18",1288571,"NAYARIT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,0,1,2,1,5,3,6,10,11,10,8,15,9,14,9,6,9,3,15,9,10,9,4,3,4,12,12,13,10,7,10,3,17,12,12,8,18,20,19,30,20,18,18,12,17,15,22,18,30,31,23,7,11,17,32,25,21,20,27,8,28,14,26,41,26,17,6,19,23,15,19,31,16,18,38,34,27,21,33,12,11,26,22,31,31,30,19,8,41,34,29,30,36,17,14,32,44,41,37,42,17,23,35,36,38,37,40,20,20,39,37,41,32,40,2,0,0
"19",5610153,"NUEVO LEON",0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,4,0,2,2,10,6,3,6,3,2,3,3,3,2,2,0,0,0,1,1,1,4,3,0,2,6,3,3,5,1,2,1,3,1,2,0,2,3,0,2,4,0,3,8,3,2,8,12,6,7,4,3,3,9,7,9,25,39,14,6,26,43,35,47,42,30,33,62,95,97,54,73,40,37,76,70,95,75,85,48,30,95,109,100,232,343,277,219,182,302,265,222,157,56,58,122,64,48,65,73,106,85,170,182,203,144,129,101,106,226,229,143,149,169,181,181,218,264,295,291,193,186,115,287,310,306,346,390,172,167,388,501,445,461,418,219,67,325,356,414,459,450,225,164,356,432,440,401,424,155,164,392,431,318,271,257,146,76,206,313,204,353,304,205,96,316,303,272,201,218,118,86,298,321,158,144,90,26,2,0
"20",4143593,"OAXACA",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,1,0,1,0,0,1,1,3,2,2,3,1,3,5,5,7,1,2,4,7,11,20,16,31,6,12,10,19,22,44,23,12,6,15,12,13,6,8,15,6,19,11,9,6,15,6,6,12,7,7,11,21,16,6,20,20,19,18,8,21,15,13,20,11,19,17,19,18,33,37,47,22,30,33,22,92,82,60,61,41,23,22,77,43,35,56,100,29,13,52,88,65,71,64,46,49,63,86,67,53,76,36,19,51,87,86,84,76,26,15,43,31,45,66,45,24,20,41,59,67,52,66,18,12,38,33,41,4,1,0,0,0
"21",6604451,"PUEBLA",0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,4,0,2,1,0,1,0,0,1,0,0,2,12,5,10,5,4,4,17,25,25,34,16,7,26,35,40,38,24,10,21,63,32,27,35,41,18,25,50,47,57,27,17,10,24,70,54,41,34,41,18,18,51,27,29,41,46,31,20,60,52,46,58,26,24,26,64,44,55,73,89,73,23,56,91,79,119,130,50,37,170,128,174,163,143,115,54,208,211,204,255,270,93,26,218,229,206,200,225,91,50,338,323,369,350,276,146,43,261,241,245,179,222,97,44,355,362,381,396,396,167,79,407,418,379,381,403,140,76,308,252,195,14,3,2,0,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,1,7,4,3,4,2,9,13,6,16,4,17,19,16,29,19,15,9,22,37,27,20,19,3,6,22,17,14,5,21,14,11,25,17,18,16,10,10,9,19,16,9,10,15,8,7,23,18,12,15,12,9,6,16,15,9,13,22,10,18,18,31,50,49,42,38,28,68,61,43,57,46,24,19,36,49,52,60,27,14,11,33,30,32,21,33,20,14,26,37,36,26,37,16,17,34,24,25,45,41,18,15,35,40,40,35,32,23,13,44,36,56,28,28,19,21,43,31,37,29,33,19,2,0
"23",1723259,"QUINTANA ROO",0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,2,0,0,2,0,2,2,2,0,0,0,0,2,4,3,2,0,1,3,0,2,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,3,0,0,3,1,0,2,3,0,1,2,1,2,3,4,3,6,9,11,10,12,5,6,6,11,18,20,24,21,6,8,32,24,17,21,17,8,13,16,20,16,15,13,10,7,23,12,16,16,9,17,9,14,16,11,8,18,15,6,17,14,19,17,8,4,9,16,22,21,36,17,17,16,25,24,26,38,30,13,12,41,26,25,30,33,19,19,30,23,30,30,46,31,15,42,26,39,44,37,27,20,47,46,51,39,70,19,33,25,52,64,66,46,17,22,66,87,87,96,88,16,21,88,93,84,83,70,17,17,27,45,50,56,48,6,2,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,0,2,0,2,1,1,2,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,2,1,3,3,2,13,5,9,2,8,11,14,13,25,39,40,39,54,29,29,40,45,62,53,32,29,19,32,43,57,31,25,29,24,54,55,29,31,36,27,28,39,41,33,62,63,22,28,52,55,51,60,43,27,33,51,41,83,64,103,35,28,89,99,98,78,108,52,32,92,95,81,60,67,58,46,124,120,140,70,101,45,67,140,101,106,102,90,47,47,117,150,143,143,142,72,59,173,178,135,188,154,82,54,128,150,154,110,170,128,54,148,173,185,192,185,115,76,227,197,225,136,2,3,1,0
"25",3156674,"SINALOA",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,7,4,4,0,0,0,2,3,4,3,4,0,0,2,1,4,1,1,0,1,0,2,1,0,2,1,0,2,0,1,2,1,0,1,2,3,0,3,2,3,4,3,6,13,10,11,5,6,22,37,34,30,37,11,18,39,24,43,36,38,50,14,40,25,42,19,28,24,8,60,38,45,31,36,14,21,34,19,22,25,48,18,21,44,56,29,94,66,48,20,97,86,90,93,84,37,27,68,99,58,83,81,37,33,100,67,81,68,79,31,54,90,72,67,85,76,32,38,96,85,94,90,131,56,36,112,126,110,147,117,35,41,70,107,135,92,113,73,39,102,141,128,100,115,52,34,121,130,111,116,122,30,36,121,101,46,27,10,0,0,0
"26",3074745,"SONORA",0,0,0,1,0,1,2,0,1,0,0,1,0,0,4,3,0,1,0,0,0,1,0,3,0,0,0,1,2,3,4,0,1,0,0,2,1,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2,1,1,1,1,0,1,2,1,0,2,2,0,1,2,9,13,8,7,6,3,10,22,28,21,23,17,13,40,32,34,28,22,15,12,28,28,36,16,25,12,7,38,29,36,31,35,23,25,35,35,41,30,39,16,23,33,26,41,47,25,21,24,49,38,48,58,93,44,22,89,83,93,77,113,34,32,76,82,81,94,86,51,68,82,109,115,114,72,73,43,107,129,93,95,128,75,70,146,121,116,141,95,65,46,134,104,121,95,146,67,65,105,115,87,79,77,32,31,91,84,60,99,81,56,37,92,54,33,2,2,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,2,0,2,0,1,2,1,1,9,5,7,11,17,6,17,35,27,21,8,44,45,36,25,35,19,20,30,30,26,9,8,7,8,16,32,21,31,47,22,50,35,49,66,73,79,35,24,66,33,77,57,32,29,52,75,78,72,94,105,73,45,91,88,89,127,143,77,58,129,139,173,168,185,104,85,182,196,193,224,225,86,72,227,215,250,275,249,144,103,274,248,322,234,183,108,75,304,229,284,329,293,157,100,290,277,253,285,239,206,103,273,278,307,242,239,57,57,213,292,220,229,250,103,55,0
