cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,2,3,1,1,2,1,4,4,1,2,2,2,6,5,6,2,2,6,1,1,0,0,6,2,2,0,2,3,6,4,4,3,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,11,6,8,7,6,11,10,9,8,11,9,16,6,9,12,20,6,13,11,4,7,12,15,4,16,16,14,16,17,15,12,24,14,19,14,17,16,26,21,20,17,26,24,24,36,24,31,23,25,27,18,20,17,36,16,20,21,23,24,22,12,15,20,17,14,5,2,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,3,3,1,1,1,0,3,1,2,0,1,3,1,2,0,0,4,2,2,4,4,1,4,6,5,6,8,7,7,10,4,9,13,8,13,16,12,12,21,15,12,15,11,10,21,27,19,18,23,17,24,26,23,16,21,22,22,23,19,12,15,8,7,9,4,1,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,8,10,10,6,9,9,10,17,13,12,14,6,15,11,22,13,12,13,11,12,14,24,17,15,14,16,21,19,22,21,17,11,20,16,15,17,26,11,22,19,16,15,17,8,15,14,13,16,12,16,15,15,19,19,10,15,12,7,18,9,6,6,7,2
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,5,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,10,6,17,14,8,11,11,6,5,5,12,3,2,1,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,1,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,5,3,4,2,3,11,3,4,4,6,3,0,9,8,9,5,10,4,5,5,9,10,13,8,3,5,1,3,5,1,5,2,7,9,3,1,0,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,11,3,6,15,12,12,14,17,13,19,27,22,24,22,20,36,24,19,22,32,36,35,26,31,27,30,26,32,23,30,25,36,26,31,28,32,21,39,25,31,36,34,35,25,30,24,26,37,33,20,22,25,27,19,13,11,9,7,1
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,7,7,9,5,10,8,2,4,4,6,4,5,9,10,3,5,7,11,13,6,7,9,3,6,5,6,7,12,7,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,3,6,1,2,1,1,1,0,1,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,31,33,27,53,57,46,53,66,67,71,79,86,89,77,106,108,130,161,152,160,157,193,211,223,209,197,256,247,278,254,248,319,294,289,284,307,294,309,327,322,361,400,405,374,422,427,427,426,424,415,411,441,444,444,420,428,410,432,476,509,446,476,462,460,488,499,518,491,515,465,512,494,492,490,523,488,419,386,343,380,354,251,208,113,15
