cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,1,0,10,4,2,1,11,1,1,16,12,14,4,26,9,4,2,7,1,11,0,8,0,5,2,2,4,3,3,3,2,3,2,2,4,1,1,9,3,6,5,11,10,1,12,11,12,13,10,8,3,19,19,13,12,27,6,6,20,23,11,15,17,8,6,16,8,16,24,21,8,4,22,17,33,44,38,29,11,41,19,42,113,343,290,193,34
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,2,1,1,0,0,2,9,13,5,7,1,1,4,1,4,12,3,0,1,6,7,14,9,9,1,3,1,16,13,7,7,6,0,3,5,1,5,4,4,4,13,3,3,3,5,0,2,2,7,4,3,3,3,7,15,16,59,28,17,1,3,9,5,8,7,7,0,5,3,6,5,10,3,0,6,4,12,1,12,82,14,2,58,29,98,102,137,241,92,3
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,2,1,0,3,1,0,1,2,4,2,1,1,0,0,0,3,2,4,1,0,1,6,2,3,2,5,0,2,3,1,2,7,6,1,0,2,2,2,2,2,2,0,6,5,2,4,1,2,0,1,1,3,1,8,1,2,2,4,1,4,3,4,0,2,3,13,7,13,2,8,17,6,19,22,67,53,65,4
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,4,6,4,2,8,21,9,4,7,7,1,10,7,19,16,20,13,10,9,16,13,18,15,9,6,25,20,28,22,22,23,3,31,35,48,62,42,17,29,43,48,47,51,44,9,9,65,54,47,39,51,33,23,68,65,26,48,67,32,16,55,36,61,32,54,22,19,43,33,15,24,41,54,47,227,89,47,31,85,162,106,25
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,1,0,2,0,0,1,3,1,5,6,4,5,1,3,2,7,2,4,6,3,4,10,11,14,25,32,9,12,25,27,11,32,10,9,7,34,44,64,37,51,43,25,57,55,52,65,79,43,42,84,70,99,85,104,43,48,72,100,64,66,78,38,43,121,116,131,96,144,66,50,111,118,130,159,158,57,60,99,159,115,166,174,83,47,147,96,207,181,173,58,40,212,224,257,327,417,73,108,402,369,448,488,590,77,101,433,438,482,420,342,68,52,431,458,548,510,538,180,151,775,739,1026,1286,1419,392,233,129
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,5,3,1,1,0,0,0,1,1,0,2,1,3,3,3,0,1,1,4,0,5,9,8,5,6,1,6,10,15,22,8,16,6,3,24,27,14,28,23,13,5,24,17,38,26,22,8,12,15,21,29,32,29,15,22,50,31,73,164,337,122,50,14
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,2,3,0,1,0,0,3,4,14,5,4,8,5,0,3,2,2,1,2,0,3,2,2,0,0,2,1,0,3,1,2,4,3,15,5,4,1,2,0,7,2,1,6,2,1,3,4,3,6,3,1,0,0,3,0,4,4,2,1,0,5,0,2,4,6,0,1,3,5,5,3,4,0,3,4,8,11,23,46,27,18,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,2,1,0,0,0,1,0,1,0,0,0,1,1,2,2,0,0,1,2,1,2,1,0,0,2,0,0,0,1,0,2,1,1,2,3,1,0,0,0,2,0,2,1,2,1,2,0,2,5,3,1,1,1,2,4,10,9,11,12,20,1,0,7,41,30,40,1
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,1,4,7,6,4,0,0,4,2,6,6,6,3,0,11,5,3,3,1,1,3,7,3,7,2,9,4,2,7,6,8,3,4,4,3,13,8,8,9,13,3,4,8,15,12,12,18,6,4,19,21,10,9,10,12,13,10,20,32,39,40,19,9,34,52,32,42,49,57,25,41,52,66,44,68,29,23,59,123,59,60,88,78,30,129,288,212,227,243,104,80,24
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,3,0,1,0,0,1,0,0,2,2,1,0,2,3,1,0,3,6,6,7,3,2,2,6,3,12,3,4,0,2,3,9,9,18,24,10,2,14,2,6,6,9,4,6,4,8,8,4,5,5,9,8,7,6,2,4,3,2,4,9,4,4,6,4,2,12,9,8,7,14,10,8,12,10,11,14,9,8,4,17,6,6,26,12,9,3,23,15,22,24,44,29,32,2
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,5,6,8,7,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,1,0,1,1,4,1,9,15,9,24,14,5,11,10,5,3,9,3,3,9,10,10,42,21,10,5,21,10,17,18,10,33,6,28,18,18,17,22,22,5,53,30,31,24,23,34,21,40,41,26,64,49,11,25,49,55,46,44,32,18,44,48,26,26,39,27,21,28,31,38,52,76,82,31,33,53,72,38,26,42,18,8,37,39,57,87,51,39,23,61,122,278,533,525,250,89,29
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,1,2,0,0,0,1,0,0,3,2,2,1,0,2,0,0,2,1,0,0,4,10,4,0,3,0,0,1,1,3,2,0,1,1,1,0,3,5,2,4,5,17,10,11,16,8,6,34,5
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,3,3,2,1,1,1,1,1,2,0,0,3,1,1,0,1,2,0,2,2,1,1,0,1,1,1,2,0,1,0,4,0,3,3,4,1,3,6,0,8,5,6,2,2,3,4,2,4,11,9,11,7,3,17,11,7,12,10,4,1,18,10,9,8,5,4,10,6,9,6,12,11,8,4,10,11,12,14,11,15,19,30,4,13,7,39,61,67,14
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,2,0,2,1,1,4,2,1,1,0,3,3,7,5,4,6,2,2,1,5,1,2,1,6,4,3,7,16,13,12,31,30,14,35,37,17,22,36,12,8,12,11,36,68,46,6,13,54,87,30,43,46,23,12,89,78,51,75,41,28,27,91,87,96,132,97,65,37,188,92,222,321,514,239,88,4
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,2,2,5,2,3,0,2,0,0,3,8,3,5,8,1,4,7,6,7,0,4,5,3,7,10,11,9,5,9,7,11,13,8,12,6,6,4,30,8,10,11,13,14,5,7,12,20,5,13,6,5,32,10,8,5,6,4,0,24,14,10,11,12,11,7,8,10,15,17,10,5,8,14,15,9,19,23,20,5,13,13,16,9,15,7,4,11,8,19,33,77,43,42,178,164,139,160,138,91,38,3
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,2,2,2,1,2,0,2,5,5,1,2,1,2,4,8,18,14,22,6,1,15,21,21,20,16,2,5,24,13,4,10,9,4,2,13,14,12,10,23,6,8,13,12,16,16,7,5,9,17,13,13,15,14,18,6,13,34,31,25,48,16,16,27,38,69,90,43,11,11,14,26,29,25,31,24,17,50,40,40,59,70,24,22,88,138,246,277,203,119,65,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,1,1,2,0,0,1,0,0,1,2,0,2,0,0,0,1,0,0,0,2,2,0,3,1,0,17,3,3,3,8,23,22,13,23,8,9,27,16,24,18,18,20,15,48,34,43,94,279,266,166,86
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,5,5,1,0,2,5,2,1,4,1,1,12,5,4,5,1,1,3,5,3,6,2,5,0,2,6,10,9,7,9,4,4,17,15,28,3,23,9,10,56,12,18,29,36,29,17,21,13,11,23,18,4,5,19,31,25,28,22,10,10,31,33,33,20,24,23,17,34,46,42,73,67,32,63,154,250,242,246,227,223,58,354,338,356,401,375,170,108,29
