cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,2,1,0,3,0,0,0,2,3,3,1,3,2,0,0,2,3,3,2,3,3,2,3,4,6,4,1,3,1,4,2,4,3,1,5,3,1,2,6,3,2,6,3,3,4,0,2,6,2,5,4,5,7,10,7,12,6,15,13,8,10,4,11,11,7,20,12,15,11,12,15,14,16,11,18,12,21,15,14,22,14,21,22,17,21,27,22,15,20,23,14,16,14,12,10,21,14,13,17,17,4,0
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,1,1,3,0,1,3,4,3,7,3,3,1,4,1,8,5,4,2,2,8,4,4,5,10,6,4,11,6,8,7,8,8,13,14,16,16,12,23,17,18,18,19,27,22,24,17,21,17,23,19,28,17,17,22,19,23,21,19,21,18,17,27,22,15,19,22,20,29,14,15,28,13,14,16,21,23,20,19,19,9,11,11,19,12,12,22,9,12,15,13,6,13,23,11,7,8,9,7,7,8,4,2,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,11,14,7,16,17,12,11,11,12,11,12,12,11,10,13,9,6,15,5,3,3,12,15,8,12,10,5,8,15,10,11,12,12,11,8,10,8,12,13,6,18,6,12,10,6,17,13,10,5,9,6,10,10,8,13,9,15,13,14,14,13,13,12,6,12,10,6,2,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,19,10,18,23,17,16,21,13,22,13,22,26,14,27,17,24,27,15,24,26,24,20,26,25,26,18,22,24,33,20,30,21,30,32,27,25,23,23,25,17,32,28,29,22,32,25,16,20,23,23,28,9,4,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,16,21,28,27,33,35,38,35,47,43,66,50,55,65,61,74,63,61,90,63,55,65,60,60,64,67,57,83,74,88,87,101,90,99,82,99,95,83,102,93,107,90,86,96,102,107,104,96,116,104,98,103,110,106,120,109,116,102,101,102,117,118,107,88,104,74,75,87,81,77,66,76,82,84,115,77,79,89,58,69,78,101,74,81,73,68,79,62,62,64,67,74,55,57,63,35,32,31,9,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,3,6,6,4,8,9,10,7,4,9,11,6,12,8,2,4,6,8,6,6,14,7,9,7,10,7,11,10,9,13,18,19,15,21,12,12,13,10,7,9,10,6,8,16,11,6,5,10,8,5,7,7,10,6,7,5,6,12,7,11,7,12,6,7,2,3,3,2,0,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,3,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,13,16,16,11,22,10,10,9,10,14,17,22,15,9,15,7,8,10,6,7,5,7,12,13,13,6,7,7,11,8,8,9,12,8,8,9,8,7,10,7,5,9,3,9,6,9,4,1,7,3,4,9,6,7,3,6,5,4,3,3,4,4,7,4,2,5,3,2,3,2,1,8,2,3,0,2,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,3,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,7,7,3,1,1,4,3,5,7,5,5,7,3,5,5,6,4,4,4,4,2,12,4,7,4,3,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,6,10,3,7,3,5,6,6,5,10,10,5,13,11,10,11,10,7,11,10,10,11,10,20,12,14,12,22,20,27,18,16,20,22,17,21,23,11,20,22,25,24,17,24,23,30,24,18,19,30,3,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,7,9,14,11,8,10,7,13,15,16,12,10,6,12,4,12,16,17,22,20,10,17,26,12,17,22,19,11,9,6,14,17,20,14,10,15,12,9,5,7,15,6,11,17,15,13,15,8,11,13,9,12,17,12,14,8,11,5,9,5,3,6,2,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,6,8,3,7,5,6,6,9,5,12,9,8,11,5,13,13,13,8,11,8,8,5,14,16,13,14,16,11,9,9,19,22,17,26,22,17,28,20,18,22,19,23,24,34,32,23,33,19,33,26,25,30,29,17,35,36,33,35,39,35,39,24,32,41,44,28,20,20,25,22,24,30,34,32,25,43,31,36,35,30,25,27,28,22,29,43,19,22,30,26,19,21,21,20,13,2,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,6,3,5,5,3,3,5,9,5,6,5,6,10,3,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,6,8,2,7,2,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,6,8,8,6,12,7,4,5,8,9,12,5,7,8,4,6,6,6,4,4,5,6,5,5,8,8,5,6,10,10,6,10,11,9,10,7,9,6,16,9,12,10,19,16,14,11,11,17,10,9,18,11,13,17,21,8,6,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,4,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,4,7,7,5,11,9,6,4,7,4,8,7,2,4,1,3,12,7,7,9,10,4,10,11,12,10,13,9,4,6,8,8,5,4,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,3,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,17,18,15,15,24,14,19,14,17,16,28,23,21,21,28,26,25,39,26,34,24,27,30,19,21,20,43,24,24,28,26,31,26,21,22,31,26,25,24,26,25,31,25,27,20,19,23,33,23,35,25,25,23,30,13,20,25,33,27,28,21,31,16,31,21,7,12,1,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,1,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,5,6,5,7,8,7,9,10,4,9,14,11,14,16,12,14,22,16,13,17,12,14,24,32,22,21,27,24,32,32,30,22,25,31,32,29,33,27,27,20,33,46,41,41,30,19,31,37,27,30,29,27,25,28,31,32,32,45,31,34,27,24,33,22,27,15,13,22,9,11,8,5,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,10,7,10,10,6,9,9,10,17,13,12,14,6,15,11,23,13,13,14,11,13,14,24,17,15,14,16,21,19,22,21,17,12,21,17,19,18,27,11,23,19,16,16,17,8,16,14,15,17,12,17,15,16,20,22,14,19,18,8,23,16,13,13,21,22,24,24,24,28,16,26,24,17,29,34,31,22,26,30,31,26,34,24,20,27,33,18,22,25,27,24,4,0
"28",3650602,"TAMAULIPAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,4,0,0,3,1,3,1,2,1,0,3,2,3,1,1,1,3,4,6,3,4,4,3,3,5,2,3,0,4,4,2,5,4,3,5,4,3,4,10,2,7,9,6,6,7,5,2,2,5,7,7,9,5,11,6,19,15,12,17,21,18,9,14,23,17,7,13,12,15,20,21,26,14,23,12,24,23,31,21,14,13,14,8,8,24,10,13,14,15,12,12,10,6,5,0,0
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,0,0,1,0,2,0,2,2,1,1,2,2,4,4,5,3,2,3,2,6,4,3,2,7,1,1,10,9,4,2,8,9,6,3,6,5,4,2,5,12,3,5,4,8,3,0,9,8,9,6,13,4,7,7,13,10,16,11,7,7,4,6,9,5,8,7,12,11,4,5,6,5,13,8,5,7,7,9,9,5,5,5,5,12,9,6,8,10,9,4,9,15,6,9,12,10,10,7,3,1,1
"30",8539862,"VERACRUZ",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,3,1,1,0,1,1,2,6,4,3,6,2,4,9,10,6,3,12,3,7,15,13,12,14,17,13,19,27,22,25,24,20,36,25,19,22,32,35,37,27,33,28,30,30,34,24,31,25,38,27,35,33,34,24,40,28,32,41,38,40,29,32,28,32,39,39,25,26,30,40,40,24,28,32,39,35,38,36,38,28,22,26,27,35,30,37,30,43,34,30,21,18,32,24,19,36,25,31,35,27,20,17,4,0
"31",2259098,"YUCATAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,3,0,0,1,0,3,1,1,0,1,2,3,1,4,2,2,1,1,3,3,1,2,5,2,2,7,4,3,2,1,7,6,7,5,7,1,3,8,5,3,11,5,6,8,2,7,10,9,8,7,9,5,10,8,2,5,4,6,4,5,9,10,6,5,8,12,13,6,7,10,3,9,7,6,8,19,16,8,6,6,14,23,15,10,14,16,7,18,19,9,13,18,10,8,16,12,22,13,7,14,9,13,17,14,12,0
"32",1666426,"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,3,3,1,1,0,0,0,1,1,0,1,1,1,2,0,1,0,2,0,0,1,1,0,1,1,1,1,1,1,1,1,3,2,2,2,1,3,5,2,2,2,1,0,4,3,2,5,6,1,2,2,1,2,1,2,3,0,4,3,4,3,6,3,1,1,3,7,5,3,6,4,4,1,5,7,4,3,6,4,4,5,2,0,0
"000",127792286,"Nacional",0,2,0,1,0,1,1,2,2,8,7,14,8,12,22,19,26,32,33,27,53,56,46,53,65,69,72,80,92,94,78,108,110,133,163,156,165,162,195,218,234,211,207,265,259,292,260,259,331,310,297,295,320,304,317,339,338,374,412,419,392,439,446,452,458,446,433,431,461,476,475,442,470,430,469,500,538,493,519,521,498,528,549,583,549,578,526,583,549,566,567,623,593,542,526,462,525,520,516,501,481,527,521,520,582,542,524,517,508,526,552,615,577,520,541,490,517,501,538,511,486,499,461,420,454,392,349,284,85,2
