cve_ent,poblacion,nombre,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,3,0,0,2,1,1,2,2,2,1,7,8,1,5,2,5,9,2,7,10,10,7,8,9,6,10,8,12,9,14,15,9,12,14,7,16,17,12,11,11,12,11,12,12,11,11,13,9,6,16,5,3,3,12,15,8,12,10,5,8,16,10,11,12,12,11,8,10,8,12,13,8,19,6,12,11,6,18,14,11,5,9,6,10,10,10,15,12,18,14,14,14,15,17,13,8,14,18,12,9,16,20,13,17,16,16,19,17,12,19,18,23,19,22,15,14,15,26,23,18,14,19,12,13,22,16,16,12,19,20,20,12,29,17,14,19,19,16,16,16,14,9,11,12,15,11,9,15,9,14,12,9,9,8,10,5,12,7,11,12,8,10,9,8,2,0
"14",8409693,"JALISCO",0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,2,1,1,3,1,3,2,0,1,3,2,3,0,4,3,3,3,5,3,0,3,3,2,3,3,4,7,9,5,3,1,6,9,2,4,3,8,5,4,3,5,14,10,20,11,18,23,17,17,21,14,26,14,24,28,14,27,18,24,30,17,24,26,26,21,27,27,29,19,23,27,34,20,32,21,33,38,32,27,27,30,28,24,35,30,33,25,39,30,18,24,29,31,34,23,32,24,29,23,33,38,18,37,20,29,23,26,30,32,34,30,35,27,18,37,29,25,26,24,31,29,19,36,29,26,31,39,21,29,31,23,28,24,23,23,26,23,24,21,20,42,23,37,25,22,24,20,32,30,18,29,34,23,32,22,17,17,17,10,14,5,0
"15",17427790,"MEXICO",0,1,0,0,0,0,0,0,0,0,0,4,1,1,2,1,5,3,5,5,4,10,6,5,7,13,17,19,16,18,18,23,28,27,37,38,40,37,54,48,68,51,59,72,65,78,66,65,94,67,58,66,64,64,65,71,59,87,74,94,87,103,93,101,82,102,100,88,108,106,116,103,100,104,113,112,113,100,126,110,103,110,118,118,131,119,123,111,108,106,126,131,115,96,115,81,88,98,90,83,72,85,94,93,125,89,88,98,63,73,88,113,79,87,82,77,95,75,67,77,79,89,71,78,84,70,72,62,69,68,73,66,71,57,62,59,59,69,59,66,63,61,66,46,48,64,73,49,50,53,53,49,56,48,49,59,39,51,44,57,45,40,36,54,56,44,42,43,44,50,49,34,42,57,44,32,41,34,45,45,34,29,44,46,36,36,47,48,38,45,48,23,10,4,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,1,0,4,2,1,2,0,1,2,4,0,1,3,2,4,3,1,3,5,5,2,1,1,4,5,0,2,4,4,3,3,2,6,10,4,6,7,4,8,9,10,7,4,9,11,6,12,8,3,4,8,8,6,7,14,7,9,7,12,8,11,12,9,14,18,20,16,24,12,14,14,10,8,10,10,6,8,17,11,6,7,12,9,5,8,10,10,7,10,5,8,15,10,12,8,14,6,13,4,5,5,4,5,8,11,15,17,13,11,15,8,8,18,8,19,7,10,12,15,15,19,16,14,16,9,11,14,16,20,14,17,6,16,16,18,11,13,15,12,19,19,18,16,19,13,23,14,12,18,10,14,16,18,8,17,11,23,14,18,10,8,10,13,13,6,11,5,2,1,1
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,3,1,2,1,3,0,4,6,6,8,6,4,7,8,7,9,11,8,15,16,12,20,16,14,12,13,13,16,16,12,22,10,10,9,10,15,18,22,15,9,15,7,9,10,6,7,5,7,12,13,13,6,7,8,11,9,9,9,12,9,8,10,11,7,11,7,5,9,3,9,7,9,4,1,8,3,4,9,6,8,4,6,5,4,3,3,4,4,7,4,2,7,4,3,5,4,3,8,3,5,1,4,12,4,3,2,3,2,2,3,4,3,10,7,5,9,6,4,4,5,9,2,6,4,2,9,5,5,2,2,3,3,5,3,6,6,2,5,3,4,6,1,6,5,4,2,3,6,1,2,3,1,3,1,1,3,3,4,3,3,3,4,3,2,7,1,1,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,2,3,2,0,1,1,0,2,1,0,0,4,2,2,3,2,3,0,2,1,0,2,0,3,5,6,2,6,5,1,6,3,4,0,8,4,7,5,3,4,1,1,8,4,5,7,5,9,9,9,3,6,5,8,1,6,8,7,4,1,1,4,3,7,7,6,5,8,4,5,6,8,6,4,5,6,4,13,5,9,7,10,1,9,8,7,9,10,6,3,7,11,6,6,7,7,3,7,7,6,3,2,6,9,11,3,9,8,6,15,4,7,3,5,8,7,8,3,6,12,4,4,4,7,8,6,2,8,6,5,1,6,5,2,8,8,3,5,1,4,5,6,5,1,3,0,0,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,1,1,1,1,2,2,2,1,2,3,2,2,3,2,2,0,3,3,3,4,4,3,4,3,3,4,5,6,3,3,2,1,9,5,4,4,6,3,2,4,2,8,10,3,7,3,5,6,7,5,10,10,6,13,11,11,11,10,7,14,13,11,11,10,21,13,14,16,23,20,28,23,19,28,27,24,24,27,17,23,26,33,30,40,30,29,37,33,29,36,42,37,40,29,36,46,48,29,31,31,33,36,31,37,40,43,46,27,45,33,32,33,41,27,31,39,35,24,31,38,32,34,24,28,22,27,22,25,28,31,32,26,26,30,32,23,18,23,31,22,30,21,26,27,29,24,17,27,20,22,22,27,18,24,8,6,0,0
"20",4143593,"OAXACA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,4,1,0,1,3,0,1,4,1,1,2,4,3,4,4,5,4,2,4,5,6,7,8,3,7,7,12,5,3,8,9,14,12,8,11,9,13,16,16,14,13,6,14,5,14,17,17,24,22,12,18,26,12,17,21,21,12,10,6,16,19,21,15,12,16,12,9,5,10,18,7,11,17,16,14,16,9,14,15,10,13,17,17,15,10,13,7,18,10,10,18,13,13,6,4,10,16,7,9,11,8,12,15,9,11,14,13,10,9,7,8,10,10,11,9,11,5,8,6,11,4,3,6,6,5,9,3,3,4,9,5,7,3,6,5,8,6,4,6,6,4,2,2,9,5,6,7,3,2,7,4,5,6,3,1,2,1,0
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,3,3,4,8,1,2,5,5,2,3,4,4,5,5,7,7,8,3,7,5,6,6,9,5,12,9,8,12,5,13,13,13,8,11,8,8,5,15,17,14,14,17,15,13,10,21,23,18,28,23,18,28,21,19,24,19,23,25,35,32,26,33,20,35,29,24,31,32,19,36,36,35,36,40,38,40,25,34,46,49,28,23,23,28,22,27,33,37,34,29,48,37,41,41,37,40,33,30,29,38,59,25,31,44,40,41,37,39,45,40,42,41,46,43,36,33,44,47,37,33,32,30,31,33,30,31,22,23,35,40,27,32,28,37,34,25,17,30,25,17,19,14,25,21,17,18,16,18,24,28,11,20,15,21,25,18,13,25,20,12,16,11,17,14,15,5,20,9,8,8,9,8,11,7,2,1,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,2,1,2,0,0,0,4,2,3,1,2,4,8,8,1,3,5,9,2,5,3,5,5,6,2,6,2,7,5,6,5,9,3,7,7,3,7,2,8,7,9,4,7,7,5,6,6,5,3,5,5,3,3,5,9,5,6,5,6,10,5,8,6,5,7,10,4,3,1,7,8,3,4,7,8,5,8,8,3,8,6,4,6,8,3,6,5,7,9,9,11,3,4,10,8,4,9,7,10,6,3,5,10,10,7,3,9,11,8,7,13,6,5,12,10,7,6,13,16,11,6,7,8,9,12,6,17,7,10,14,12,7,10,10,6,6,4,7,9,4,7,9,6,5,2,1,0
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,2,2,3,3,2,2,5,5,3,0,1,4,6,7,10,8,6,7,16,10,10,14,9,12,11,14,5,8,6,7,9,8,5,9,8,6,12,7,11,10,6,5,10,8,4,6,5,3,10,6,6,7,7,8,8,7,12,7,4,5,8,9,12,6,7,8,4,6,7,6,5,6,7,6,5,5,8,9,6,8,10,10,6,10,13,9,11,8,13,6,17,11,14,13,23,21,16,15,12,19,12,11,23,13,15,27,24,14,16,16,14,14,13,16,12,17,18,10,19,21,18,10,13,13,19,12,18,21,11,7,8,14,8,11,13,14,13,10,11,15,15,11,11,7,4,6,11,6,3,7,13,8,6,4,11,4,6,7,3,6,10,5,6,6,5,9,3,6,7,8,5,3,6,2,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,2,1,1,1,1,1,0,1,1,0,1,2,4,5,2,0,3,1,2,3,2,3,3,1,1,2,2,4,6,1,5,5,2,8,6,6,3,4,8,4,2,2,0,7,2,2,3,5,7,7,6,13,10,7,4,8,4,11,8,3,5,3,7,12,10,7,10,12,6,13,15,16,17,23,16,11,18,18,23,27,32,21,24,17,22,33,17,22,27,16,23,30,25,27,22,23,23,24,23,31,26,24,30,16,11,23,15,11,24,18,21,11,32,23,17,19,18,11,20,14,14,27,10,13,17,16,16,18,15,9,9,7,11,11,22,8,6,11,4,11,12,7,8,9,3,0,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,2,3,2,5,0,1,3,6,7,10,8,7,8,5,6,4,5,5,4,10,6,8,7,6,11,10,10,8,11,12,16,6,9,12,21,6,13,11,4,6,13,15,4,17,17,14,19,18,15,15,24,16,19,15,18,17,28,23,22,23,28,30,27,40,27,34,25,31,37,20,22,21,48,26,26,31,30,31,28,22,24,35,33,31,29,30,27,35,30,29,22,20,25,36,27,41,30,30,30,34,15,22,29,37,29,33,24,33,22,38,30,18,23,23,23,25,28,31,18,20,16,28,21,9,20,30,14,21,23,14,27,14,14,19,23,15,6,12,18,13,22,22,15,19,11,16,14,8,10,12,15,16,13,10,8,16,11,14,10,16,6,10,16,10,13,9,7,7,14,7,6,11,8,6,13,4,7,1,0,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,1,3,0,1,2,0,1,0,2,3,3,3,1,1,1,0,3,1,3,1,1,3,1,2,0,0,4,2,2,4,4,1,4,7,5,7,9,7,10,10,4,9,14,11,14,17,12,14,24,18,13,21,13,16,24,35,26,22,29,24,33,33,36,26,31,41,42,34,41,31,37,25,39,54,49,47,40,36,45,44,37,43,41,39,44,40,46,42,40,50,51,45,40,44,51,38,45,31,37,35,31,46,22,38,22,22,32,34,25,20,27,18,14,12,19,25,13,14,19,12,6,6,22,12,14,11,7,15,15,8,12,9,9,3,6,9,6,9,5,8,5,3,8,2,7,6,8,2,8,6,4,5,2,2,1,5,2,2,2,2,1,7,5,2,1,6,7,0,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,3,3,0,1,1,0,1,2,4,5,3,3,10,9,8,8,3,10,11,7,10,10,6,9,9,10,18,13,13,14,7,15,11,23,13,13,15,11,13,15,24,17,17,14,16,21,19,23,21,17,13,22,18,20,18,28,11,24,20,17,17,17,11,18,15,16,17,12,18,17,17,21,26,15,22,18,10,23,16,14,14,22,22,26,25,25,29,18,27,24,17,31,41,35,24,33,36,35,31,39,29,29,35,39,25,29,34,37,32,30,21,32,24,29,27,21,33,26,25,20,21,17,20,15,12,18,20,23,18,22,19,14,11,18,8,10,13,10,11,11,8,12,6,20,17,4,14,8,11,10,3,12,8,3,6,9,6,5,4,4,7,4,6,3,7,5,4,7,3,9,4,4,6,0,1,0
