cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,10,3,2,1,11,1,1,16,12,14,4,26,9,4,2,7,1,11,0,6,0,4,1,2,4,3,2,2,2,2,1,2,3,0,1,6,3,6,4,10,9,1,10,6,5,7,7,5,3,17,13,6,5,2,3,5,18,15,4,6,12,6,4,10,7,11,11,18,3,3,18,10,11,11,15,9,7,12,6,8,15,14,4,5,17,11,14,8,31,23,3,70,134,136,208,566,233,6
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,2,1,1,0,0,2,9,13,5,6,1,1,4,0,4,11,3,0,1,5,6,13,9,9,1,2,1,16,10,4,5,3,0,3,5,1,5,2,4,3,9,2,2,3,5,0,2,2,6,2,3,3,1,7,10,12,49,21,12,1,1,8,5,7,6,3,0,2,1,5,2,4,1,0,2,1,2,1,3,22,3,1,3,4,3,3,3,2,3,3,31,3,5,17,7,6,54,37,52,119,115,98,0
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,4,1,0,1,1,4,2,1,1,0,0,0,3,2,4,0,0,1,6,2,3,2,5,0,2,3,0,2,7,2,1,0,2,2,1,2,2,2,0,6,4,2,4,1,2,0,1,1,3,1,7,0,1,2,4,1,4,3,4,0,1,3,3,2,3,2,0,4,3,2,4,2,1,1,4,5,2,1,12,12,6,11,6,20,42,91,77,2
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,0,2,9,5,5,1,2,2,4,9,6,3,6,4,2,8,21,9,4,7,7,1,10,7,19,16,20,13,8,9,15,13,18,15,9,6,22,19,27,21,20,23,3,30,33,47,61,38,16,29,40,43,45,50,43,8,9,64,50,45,38,50,32,23,65,62,23,43,59,32,15,43,35,61,30,51,22,18,38,30,15,16,17,30,7,26,26,30,22,18,36,10,18,32,26,38,49,27,14,86,73,184,282,388,137,6
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,0,0,1,3,2,5,5,4,4,1,3,3,7,2,3,6,2,3,9,6,7,8,9,6,10,6,9,10,31,10,8,4,23,39,54,33,41,38,22,51,57,50,61,67,42,33,74,68,91,80,92,39,41,66,97,61,58,67,34,40,122,108,125,89,130,63,50,108,103,122,138,156,59,58,88,146,114,149,153,75,47,125,84,169,140,155,53,35,179,213,259,325,414,76,95,388,363,436,479,580,67,98,433,445,466,409,316,65,46,389,393,461,384,336,80,48,250,133,180,433,429,152,82,332,319,424,405,324,114,87,496,649,1208,1349,1239,301,12
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,2,0,3,1,3,0,1,1,2,0,2,2,4,0,2,1,3,4,7,12,4,13,4,3,20,22,8,12,7,13,4,19,9,32,18,17,6,6,6,18,19,20,17,4,6,24,12,24,14,35,30,14,14,15,21,27,69,18,15,97,135,251,348,412,130,5
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,2,1,1,1,0,1,1,0,2,1,2,0,2,0,3,2,2,0,0,1,1,0,2,1,1,2,0,5,0,2,1,2,0,5,1,1,4,0,1,2,3,1,6,3,1,0,0,3,1,4,5,2,1,0,3,0,0,3,4,0,1,1,2,2,0,0,0,1,0,1,0,1,4,0,0,1,5,5,5,10,4,2,22,33,27,23,41,21,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,2,1,0,0,2,0,0,0,1,0,2,1,1,2,3,0,0,0,0,2,0,2,1,2,1,1,0,0,3,4,1,1,1,2,0,3,3,2,1,3,0,0,0,0,0,0,1,1,2,0,1,0,1,1,10,13,15,21,43,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,4,7,6,4,0,0,4,2,6,6,5,3,0,11,5,3,3,1,1,3,7,2,5,2,7,4,1,7,6,7,2,3,3,3,11,6,7,6,2,3,4,8,10,6,7,14,5,4,16,19,8,7,9,9,12,9,15,30,18,14,12,8,29,45,24,41,29,14,16,30,27,46,33,49,10,8,20,40,29,22,24,23,10,14,33,41,28,24,8,6,25,55,41,34,38,23,17,44,55,226,329,387,195,24
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,1,0,0,2,2,1,0,2,3,1,0,3,6,6,7,3,2,2,6,3,11,3,4,0,2,3,9,9,16,23,7,0,13,2,6,5,5,3,4,4,7,8,4,5,5,9,8,7,4,2,4,1,1,4,9,4,4,6,3,2,11,9,8,7,14,10,8,8,8,9,9,7,5,3,14,3,1,8,6,5,1,5,7,6,7,6,3,1,3,8,0,14,13,2,4,15,25,42,79,108,45,2
"21",6604451,"PUEBLA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,5,6,8,7,10,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,4,1,9,15,9,24,14,5,11,9,5,3,9,3,3,8,10,10,42,21,10,5,21,10,17,18,10,33,6,27,18,18,17,21,21,5,53,30,30,24,23,33,21,39,41,26,64,48,11,25,48,55,46,44,29,17,44,46,23,28,38,24,15,27,39,45,65,83,80,41,32,71,77,40,29,37,23,6,29,18,20,25,21,22,8,22,27,11,24,19,18,6,27,44,36,24,22,10,9,66,56,94,185,294,163,4
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,0,3,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,1,2,2,0,0,1,2,4,8,6,1,1,1,2,3,1,1,1,0,4,10,7,4,26,53,3
"23",1723259,"QUINTANA ROO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,1,3,3,2,1,1,1,1,1,2,0,0,3,1,1,0,1,2,0,2,2,1,1,0,0,1,1,0,0,1,0,4,0,3,3,3,1,2,6,0,7,5,6,2,2,3,4,2,3,7,5,7,7,3,17,11,5,11,9,3,1,13,9,8,8,5,4,10,9,12,9,13,12,9,4,9,14,13,13,8,3,4,16,4,10,2,10,1,2,11,8,8,2,1,1,1,9,5,19,16,65,35,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,2,0,1,1,0,4,2,1,1,0,2,1,3,4,1,3,2,2,1,3,1,2,0,4,1,2,3,11,11,7,20,11,8,9,8,8,5,18,0,5,11,8,32,46,21,6,10,42,60,27,29,25,13,7,29,19,46,33,14,12,12,20,23,18,19,15,10,8,63,94,85,56,63,45,46,33,24,59,64,39,42,33,48,79,179,393,384,157,0
"25",3156674,"SINALOA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2,5,2,2,0,2,0,0,2,8,3,4,7,1,4,7,6,7,0,2,5,3,7,10,10,9,4,8,7,11,11,6,7,5,4,2,29,8,9,11,11,13,5,4,10,12,5,9,3,2,21,9,4,5,5,2,0,21,12,9,10,12,10,7,8,10,15,17,9,5,8,15,13,9,19,23,18,5,12,9,14,9,15,6,3,9,5,10,6,6,3,2,7,6,4,8,2,4,5,2,11,10,19,27,15,16,72,101,115,147,195,44,0
"26",3074745,"SONORA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,2,2,1,2,0,2,5,6,1,2,1,2,4,6,19,17,21,5,0,15,17,20,12,23,3,3,25,10,3,11,9,4,3,13,14,7,9,20,4,6,11,11,36,12,4,5,9,49,11,12,23,11,17,5,10,28,27,22,42,12,16,51,38,51,54,30,10,10,22,30,29,25,32,19,13,40,25,16,26,30,24,6,20,18,17,11,9,4,4,10,11,5,11,15,4,10,42,63,238,297,289,89,1
