cve_ent,poblacion,nombre,31-12-2019,01-01-2020,02-01-2020,03-01-2020,04-01-2020,05-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020,11-01-2020,12-01-2020,13-01-2020,14-01-2020,15-01-2020,16-01-2020,17-01-2020,18-01-2020,19-01-2020,20-01-2020,21-01-2020,22-01-2020,23-01-2020,24-01-2020,25-01-2020,26-01-2020,27-01-2020,28-01-2020,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020
"11",6228175,"GUANAJUATO",0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,1,1,1,2,0,0,1,1,0,2,0,0,2,1,0,1,3,1,2,2,0,2,5,2,2,1,0,0,3,1,2,1,0,0,1,0,2,1,1,1,4,3,5,3,1,2,3,0,1,0,3,3,1,8,9,2,3,8,10,13,27,25,40,14,47,55,84,88,72,64,19,85,91,79,98,84,31,17,71,72,83,63,56,54,16,60,77,117,103,156,62,35,171,201,223,230,200,104,38,194,311,333,361,155,74,53,239,228,267,283,282,91,49,317,273,266,318,315,112,49,342,265,240,241,219,78,1,0
"12",3657048,"GUERRERO",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,5,0,1,2,3,2,2,2,0,1,12,6,12,14,17,10,11,26,20,17,18,10,7,4,12,14,14,12,14,9,10,22,16,24,22,20,10,14,30,32,18,16,16,9,17,26,41,27,33,22,44,32,42,39,56,45,53,32,21,67,56,63,43,53,42,30,56,13,6,1,1,0,0,0
"13",3086414,"HIDALGO",0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,2,0,2,1,1,2,0,2,3,3,4,0,0,0,1,11,2,4,23,1,0,11,16,16,37,34,15,12,22,16,20,15,23,9,6,16,19,16,11,4,1,3,11,18,9,5,15,20,8,17,17,16,30,13,11,5,17,22,12,28,18,11,14,28,38,31,39,41,14,6,34,22,33,57,35,34,12,47,49,29,28,49,9,0,0
"14",8409693,"JALISCO",0,1,0,3,0,2,3,4,3,14,9,3,7,11,10,17,12,15,7,2,12,18,18,8,7,4,4,11,10,9,10,11,3,6,4,7,8,6,3,2,3,9,6,13,10,8,0,6,7,4,7,6,6,2,2,5,2,10,4,5,3,3,12,8,10,3,8,2,2,3,11,9,14,18,5,14,13,37,45,53,40,31,33,91,98,117,77,124,55,67,108,103,89,93,120,113,83,145,118,103,79,76,78,52,112,91,108,106,133,64,34,183,147,200,277,293,125,91,175,127,186,156,98,64,44,177,98,122,158,181,222,85,208,189,194,338,262,143,72,206,169,190,201,162,79,2,0
"15",17427790,"MEXICO",0,0,1,1,1,3,1,5,1,6,7,0,1,2,5,2,5,1,1,1,7,4,8,1,3,0,3,2,2,3,1,1,0,1,0,6,3,5,2,0,0,2,4,3,3,2,0,0,2,0,0,1,3,0,1,2,6,4,2,4,2,2,9,12,9,4,7,1,5,7,9,13,11,24,15,9,18,42,21,44,30,24,14,64,73,79,80,145,64,64,180,124,131,131,157,104,50,128,165,168,90,124,67,63,233,214,189,166,181,83,92,227,184,191,178,255,122,94,222,262,334,451,290,287,270,601,496,658,563,679,275,210,706,714,555,476,343,145,66,278,207,235,184,105,32,4,0
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,1,0,3,4,7,8,7,7,6,12,14,33,19,21,15,10,34,20,29,25,36,22,13,29,25,34,33,25,11,17,46,38,47,82,108,26,21,63,55,43,61,57,51,18,57,70,78,91,38,33,33,79,73,86,71,90,40,32,154,120,123,145,200,71,30,111,145,90,52,4,0,0,0
"17",2044058,"MORELOS",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,1,2,6,8,1,2,11,11,13,11,8,7,14,12,15,18,17,13,13,5,21,16,21,12,9,13,8,21,27,22,17,15,5,11,23,23,12,15,12,7,8,15,12,21,22,6,2,10,24,14,44,28,31,13,11,39,44,29,32,54,12,13,46,33,28,27,25,0,6,0
"18",1288571,"NAYARIT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,3,1,2,0,1,2,1,5,3,5,10,11,11,8,15,9,14,9,6,9,3,14,9,11,9,4,3,4,12,12,13,10,7,10,3,17,12,12,8,18,21,21,30,20,18,18,12,18,15,24,19,32,34,23,7,12,18,32,26,23,22,27,9,27,14,25,39,22,4,0,0
"19",5610153,"NUEVO LEON",0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,3,4,0,2,2,10,6,3,6,3,2,3,3,3,2,2,0,0,0,1,1,1,4,3,0,2,6,3,3,5,1,2,1,3,1,1,0,2,3,0,2,4,0,3,8,3,2,9,12,6,7,4,3,3,9,7,9,25,40,14,6,26,43,35,47,42,30,33,62,96,99,54,72,41,37,74,71,95,76,86,47,30,97,109,98,235,343,277,220,185,301,269,224,157,57,59,124,64,49,64,74,107,87,172,184,203,147,130,101,105,224,237,142,147,174,184,183,216,224,263,289,199,191,103,133,79,47,74,44,19,15,0
"20",4143593,"OAXACA",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,2,2,0,3,1,3,5,5,7,1,2,4,7,11,21,14,35,6,14,10,19,24,44,25,12,7,15,12,17,7,8,15,6,19,11,10,6,15,6,7,14,7,7,11,21,17,4,17,17,20,16,11,23,14,7,17,12,20,17,16,18,33,39,47,19,28,34,28,72,82,43,33,30,16,1,0
"21",6604451,"PUEBLA",0,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,4,0,2,1,0,1,0,0,1,0,0,2,12,5,10,5,4,4,17,25,26,34,16,7,26,35,40,38,24,10,21,62,32,27,34,41,18,25,52,47,57,29,17,10,24,73,53,41,34,41,18,17,52,27,30,41,46,33,20,58,49,45,57,27,24,26,61,43,49,72,85,65,23,53,87,72,107,102,39,31,133,106,134,124,100,31,8,0
"22",2279637,"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,1,7,4,3,4,2,9,14,6,16,4,17,20,16,29,22,15,9,22,37,28,21,20,3,6,22,20,14,5,21,14,12,25,18,19,11,10,9,11,20,17,9,10,16,9,7,23,19,13,16,13,10,6,17,15,10,12,23,11,21,18,32,50,49,42,38,27,60,52,26,33,23,17,7,0
"23",1723259,"QUINTANA ROO",0,0,0,1,0,1,0,2,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,2,0,0,2,0,2,2,2,0,0,0,0,2,4,3,2,0,1,3,0,2,0,0,0,0,0,1,1,4,0,0,0,0,1,0,1,3,0,0,6,1,0,2,3,0,1,2,1,2,3,4,3,6,11,11,12,13,6,6,6,13,20,24,27,22,7,6,36,27,17,21,17,8,14,16,23,16,15,13,11,6,23,13,16,16,10,16,9,15,16,10,9,17,15,6,17,13,19,19,8,6,9,16,27,23,36,16,18,16,26,26,29,36,29,14,13,39,26,25,25,21,10,0,0
"24",2866142,"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2,2,0,2,0,2,1,1,2,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,1,0,0,0,0,2,1,4,3,2,13,5,9,2,8,11,14,13,25,39,39,39,53,29,29,39,45,59,51,32,26,19,32,43,56,32,25,28,24,52,51,29,30,36,27,28,38,40,32,62,63,21,27,52,54,52,62,44,25,33,55,42,84,64,104,34,28,81,98,97,78,109,51,32,91,94,72,47,46,32,1,0
"25",3156674,"SINALOA",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,7,4,4,0,0,0,2,3,4,3,4,0,0,2,1,4,1,1,0,1,0,2,1,0,2,1,0,2,0,1,2,1,0,1,2,3,0,3,2,3,4,3,6,13,10,12,5,6,23,38,34,30,38,12,18,40,25,45,36,39,52,16,41,28,43,20,31,24,8,61,39,45,31,36,14,21,34,20,22,26,48,20,21,45,58,32,98,66,50,23,100,90,89,95,84,37,27,68,97,60,83,81,38,34,97,56,70,62,45,1,2,0
"26",3074745,"SONORA",0,0,0,1,0,1,2,0,1,0,0,1,0,0,4,3,0,1,0,0,0,1,0,3,0,0,0,1,2,3,4,0,1,0,0,2,1,2,1,0,0,0,3,0,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,2,1,1,1,1,0,1,2,1,0,2,2,0,1,2,9,13,8,7,6,3,10,22,28,21,23,17,13,40,32,34,28,22,15,12,28,28,36,16,25,12,7,38,30,36,32,35,23,25,35,35,41,30,40,15,23,32,25,41,47,25,20,24,47,38,47,57,91,41,17,81,67,89,73,97,33,29,59,55,42,31,0,1,0,0
"27",2572287,"TABASCO",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,1,1,0,1,0,0,1,2,0,2,0,1,2,1,1,9,6,7,11,18,6,17,35,27,21,8,44,47,36,25,35,19,20,30,30,26,9,8,7,8,17,32,22,32,47,22,52,35,46,66,76,82,39,24,65,34,76,58,32,30,55,76,82,74,93,94,73,45,97,86,81,125,137,70,58,128,132,153,155,160,3,0,0
"28",3650602,"TAMAULIPAS",0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,2,1,0,1,1,1,1,1,1,4,2,0,1,2,0,0,1,0,0,0,0,0,2,0,0,0,3,1,2,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,0,0,2,0,1,2,0,2,0,3,0,2,2,0,2,0,5,3,6,3,5,10,11,13,12,21,14,5,11,19,23,32,24,24,10,14,23,34,47,15,41,11,23,66,64,72,65,70,72,38,108,49,89,90,101,47,47,147,131,130,147,89,62,48,91,110,87,115,84,51,29,119,105,141,208,254,111,21,232,183,114,32,4,1,0,1
"29",1380011,"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,2,1,1,0,1,0,3,8,6,3,4,8,6,5,14,19,7,7,19,13,21,15,13,4,9,17,17,16,27,19,8,6,49,47,18,10,30,15,2,21,22,17,23,24,24,9,40,46,17,38,10,30,11,25,30,41,26,35,32,18,27,37,59,62,62,29,13,49,51,70,95,82,1,0,0
"30",8539862,"VERACRUZ",0,0,0,0,0,1,2,2,1,1,2,0,1,2,1,1,3,3,0,0,3,1,1,3,6,2,5,3,3,2,5,0,0,0,0,1,1,4,3,1,1,6,3,1,3,4,2,2,0,3,4,3,2,1,0,4,3,1,2,6,3,4,1,6,2,4,5,0,2,3,2,2,3,9,5,2,6,28,18,15,19,6,2,17,40,46,60,40,19,15,57,63,48,59,43,15,9,52,50,51,23,24,25,13,58,62,52,36,52,23,27,79,73,61,71,61,36,20,60,48,59,42,36,24,37,48,41,55,44,64,29,24,71,58,69,54,54,36,29,65,53,42,55,19,3,0,0
"31",2259098,"YUCATAN",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,3,4,2,6,0,1,0,1,1,0,5,2,0,6,5,5,8,13,21,9,11,16,26,14,11,15,18,14,28,22,29,35,29,15,15,23,27,30,16,15,18,17,44,35,25,22,34,21,41,42,35,31,48,40,21,9,80,57,99,60,31,20,44,72,65,64,75,54,24,40,67,57,81,65,63,28,28,75,71,68,54,43,7,3,0
"32",1666426,"ZACATECAS",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,2,3,2,0,1,1,3,7,3,7,7,6,10,26,17,12,9,2,5,10,11,7,29,12,14,6,10,12,22,5,7,5,3,13,13,13,10,7,25,10,22,22,28,23,23,12,37,39,25,19,10,18,11,7,37,23,13,36,35,13,5,26,20,31,26,31,23,10,42,22,30,14,24,3,1,0
"000",127792286,"Nacional",0,5,16,18,6,14,28,27,15,45,39,5,20,36,51,59,43,42,16,21,65,52,56,46,46,15,33,43,50,30,39,32,8,12,13,51,45,44,29,8,16,71,49,40,35,32,9,17,28,30,30,23,26,12,9,32,32,38,40,63,24,27,81,74,67,64,53,24,31,77,97,108,177,222,114,135,197,364,403,485,473,331,266,700,968,1101,1047,1256,610,602,1365,1220,1258,1386,1394,846,588,1443,1533,1650,1228,1428,963,762,1950,2024,1891,1771,1965,872,798,2186,1962,1899,2102,2352,1189,939,2461,2598,2932,3303,1692,1444,1489,3361,2883,3289,3271,3583,1882,1278,3753,3890,3598,3869,3789,1854,1060,3628,3097,2924,2600,1889,517,103,2
