cve_ent,poblacion,nombre,29-01-2020,30-01-2020,31-01-2020,01-02-2020,02-02-2020,03-02-2020,04-02-2020,05-02-2020,06-02-2020,07-02-2020,08-02-2020,09-02-2020,10-02-2020,11-02-2020,12-02-2020,13-02-2020,14-02-2020,15-02-2020,16-02-2020,17-02-2020,18-02-2020,19-02-2020,20-02-2020,21-02-2020,22-02-2020,23-02-2020,24-02-2020,25-02-2020,26-02-2020,27-02-2020,28-02-2020,29-02-2020,01-03-2020,02-03-2020,03-03-2020,04-03-2020,05-03-2020,06-03-2020,07-03-2020,08-03-2020,09-03-2020,10-03-2020,11-03-2020,12-03-2020,13-03-2020,14-03-2020,15-03-2020,16-03-2020,17-03-2020,18-03-2020,19-03-2020,20-03-2020,21-03-2020,22-03-2020,23-03-2020,24-03-2020,25-03-2020,26-03-2020,27-03-2020,28-03-2020,29-03-2020,30-03-2020,31-03-2020,01-04-2020,02-04-2020,03-04-2020,04-04-2020,05-04-2020,06-04-2020,07-04-2020,08-04-2020,09-04-2020,10-04-2020,11-04-2020,12-04-2020,13-04-2020,14-04-2020,15-04-2020,16-04-2020,17-04-2020,18-04-2020,19-04-2020,20-04-2020,21-04-2020,22-04-2020,23-04-2020,24-04-2020,25-04-2020,26-04-2020,27-04-2020,28-04-2020,29-04-2020,30-04-2020,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020,22-07-2020,23-07-2020,24-07-2020,25-07-2020,26-07-2020,27-07-2020,28-07-2020,29-07-2020,30-07-2020,31-07-2020,01-08-2020,02-08-2020,03-08-2020,04-08-2020,05-08-2020,06-08-2020,07-08-2020,08-08-2020,09-08-2020,10-08-2020,11-08-2020,12-08-2020,13-08-2020,14-08-2020,15-08-2020,16-08-2020,17-08-2020,18-08-2020,19-08-2020,20-08-2020,21-08-2020,22-08-2020,23-08-2020,24-08-2020,25-08-2020,26-08-2020,27-08-2020,28-08-2020,29-08-2020,30-08-2020,31-08-2020,01-09-2020,02-09-2020,03-09-2020,04-09-2020,05-09-2020,06-09-2020,07-09-2020,08-09-2020,09-09-2020,10-09-2020,11-09-2020,12-09-2020,13-09-2020,14-09-2020,15-09-2020,16-09-2020,17-09-2020,18-09-2020,19-09-2020,20-09-2020,21-09-2020,22-09-2020,23-09-2020,24-09-2020,25-09-2020,26-09-2020,27-09-2020,28-09-2020,29-09-2020,30-09-2020,01-10-2020,02-10-2020,03-10-2020,04-10-2020
"11",6228175,"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0,10,3,2,1,11,1,1,16,11,14,5,26,9,4,2,7,1,11,0,6,0,3,0,1,4,3,2,1,2,2,0,1,4,0,1,9,1,4,3,10,5,0,10,4,5,7,5,5,2,17,12,5,5,1,3,5,15,10,2,5,11,6,3,10,7,8,9,16,0,2,15,7,7,11,14,7,8,7,4,7,13,9,2,5,13,6,11,6,4,3,0,10,6,8,7,14,6,6,11,10,7,4,15,2,0,8,10,10,11,14,16,0,8,16,10,7,6,4,3,8,6,5,5,9,3,0,7,4,1,8,4,1,4,7,5,5,7,6,2,3,21,36,46,357,852,124,8
"12",3657048,"GUERRERO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,2,1,1,0,0,2,9,12,1,5,1,0,4,0,4,10,5,0,1,5,4,13,8,9,1,2,1,12,10,3,4,1,0,3,5,1,3,1,3,2,8,2,2,3,4,0,2,2,6,2,2,3,1,6,5,9,44,19,10,0,1,6,4,7,6,3,0,1,0,5,1,4,0,0,1,1,1,0,3,3,1,0,1,4,1,1,2,1,1,1,0,1,2,2,2,0,1,2,4,2,0,0,1,3,2,2,4,3,0,3,2,2,0,1,3,1,1,3,3,0,4,3,2,4,5,3,7,7,4,4,2,5,17,5,20,10,5,4,8,12,7,9,5,11,7,35,52,110,135,182,57,1
"13",3086414,"HIDALGO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,1,0,1,2,1,1,0,0,0,2,1,2,0,0,1,3,1,2,1,4,0,2,1,0,2,7,1,0,0,1,2,0,1,1,1,0,2,3,2,2,1,1,0,1,0,3,0,4,0,0,2,1,1,1,1,1,0,1,1,0,1,1,0,0,3,0,2,2,0,1,0,3,0,0,0,2,1,1,4,0,1,0,3,2,0,0,2,0,0,0,0,0,2,0,0,8,3,1,2,2,1,0,1,0,1,0,2,6,0,2,2,0,0,3,0,0,2,4,1,0,6,1,3,1,1,2,1,10,9,22,49,73,63,1
"14",8409693,"JALISCO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,8,5,4,1,2,2,3,7,6,2,3,2,2,7,15,9,2,5,6,1,6,5,15,13,11,11,5,7,13,10,14,11,6,3,14,16,18,15,8,9,1,12,13,13,19,24,2,15,12,16,11,14,20,5,5,41,21,14,15,19,17,5,43,32,5,14,31,9,3,15,13,32,14,26,17,6,17,17,9,15,16,27,5,19,18,11,10,6,33,10,9,26,19,11,30,11,5,49,15,23,19,18,14,6,30,23,15,23,24,11,11,37,22,18,21,14,9,6,37,37,32,31,26,12,10,44,33,24,30,17,11,11,23,36,14,50,20,14,8,33,34,32,30,25,15,17,49,55,89,152,261,188,4
"15",17427790,"MEXICO",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,2,2,2,2,3,2,1,0,3,3,1,1,5,1,1,5,3,3,2,6,5,8,2,8,6,27,12,11,3,15,28,39,25,29,25,16,31,37,36,55,45,30,20,42,46,53,54,69,28,35,43,74,41,41,47,21,28,65,47,81,54,72,23,18,51,47,50,38,60,25,27,39,65,47,55,30,37,27,56,54,89,58,49,30,25,59,54,77,86,113,27,33,137,114,165,174,196,34,33,152,194,172,304,187,16,16,168,235,315,232,214,55,34,83,69,46,73,98,45,39,100,154,166,118,109,58,36,155,124,206,284,154,43,28,164,131,103,161,179,49,25,135,185,160,211,171,44,27,210,317,279,162,162,37,43,357,405,269,323,218,80,47,407,448,36,603,466,95,46,575,547,654,549,487,102,84,601,807,1174,1050,920,197,1
"16",4825401,"MICHOACAN",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,0,2,0,1,0,2,1,1,1,2,0,2,1,4,0,2,1,2,3,2,0,1,2,1,1,0,3,2,2,1,1,0,1,1,2,1,2,0,0,1,3,0,0,0,0,0,2,4,3,4,1,2,1,4,1,4,2,4,3,1,8,6,5,4,5,0,0,4,4,5,6,5,1,5,10,2,6,4,10,5,4,10,21,13,26,7,8,4,16,15,12,40,30,10,9,14,9,6,24,14,16,3,20,14,29,22,23,10,7,50,113,157,300,285,116,6
"17",2044058,"MORELOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,2,0,2,2,1,0,0,1,1,0,2,1,1,2,0,4,0,2,1,2,0,5,1,1,4,0,1,2,2,1,5,3,1,0,0,3,0,4,5,2,1,1,2,0,0,3,2,0,0,0,1,2,0,0,0,1,0,1,0,1,4,0,1,1,2,0,0,5,3,0,3,1,1,1,1,2,2,6,2,3,4,2,1,0,5,3,6,1,1,1,0,4,2,5,1,2,2,0,0,1,1,3,1,1,3,2,2,0,1,2,3,1,2,6,1,11,4,0,1,24,46,22,50,60,13,0
"18",1288571,"NAYARIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,2,1,0,0,2,0,0,0,1,0,2,1,1,2,3,0,0,0,0,2,0,2,1,2,0,1,0,0,3,2,0,0,1,1,0,1,2,2,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,1,0,0,2,1,2,2,0,2,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,2,1,1,0,0,0,1,0,0,3,1,0,1,0,3,1,1,0,1,2,3,2,11,15,28,19,0
"19",5610153,"NUEVO LEON",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,4,7,6,4,0,0,5,2,6,6,5,3,0,11,4,3,3,1,1,3,7,2,5,2,7,4,1,6,6,7,2,3,3,3,10,6,5,6,2,3,4,7,8,5,7,14,3,3,11,17,6,6,7,7,11,4,10,16,14,9,11,5,21,40,24,36,24,13,15,28,20,44,31,44,10,8,20,36,26,22,19,21,9,11,24,38,25,23,4,6,23,41,24,15,17,5,9,30,20,22,51,36,9,16,31,37,29,49,16,20,12,23,60,36,40,33,53,23,63,54,52,34,73,42,27,47,68,40,49,30,32,37,55,48,30,39,31,24,19,58,63,48,49,27,30,38,56,48,41,207,446,275,33
"20",4143593,"OAXACA",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,2,2,0,0,0,1,3,5,3,1,2,5,3,5,1,3,0,2,1,4,6,10,4,0,0,3,1,5,3,2,1,11,3,7,5,2,4,5,8,6,7,3,2,1,1,1,3,7,3,5,6,2,2,10,6,8,6,12,7,7,6,7,9,8,6,4,1,12,5,1,1,6,5,0,4,5,5,4,2,1,1,3,4,0,6,9,0,2,2,4,2,1,5,1,0,5,3,4,3,3,1,3,2,1,0,4,2,1,0,2,5,5,4,3,1,0,2,4,0,3,1,1,1,4,4,1,7,3,1,1,5,3,4,15,14,8,3,30,24,31,55,57,39,0
